aang;arang
abai;lalai
abau;abu
abeak;takilan
abes-abes;samar-samar
abiak-abiak;sekitar
abis;habis
abo-abo;meraba-raba
acer-acer;bakal rencana
aciak;aceh
adek;adik
adep;depan
aduk;suami
ae;kecewa
agai;ragi
agak;agak
agam;ragu-ragu
ageak;gagah
agei;banyak
ages;nyamuk
agung;agung, raya
ahli;keluarga, kerabat
ajea;ajaran
ajua;hancur
ajung;hasut
aka;akal
akau;anggap
aket;tua
akong;akat angkutan hewan
akuak;akrab
akur;cocok
alas ;alas
alau;pergi
aleak;kalah
alei;petai
ales;takilan permulaan
aliak;pindah
alit;tunggal
alua;peluang
alun;alot
alus;halus
amai;amai
amal;amal
amen;kalau
amis;amis
anduk;handuk
anduk;rusa jantan
ane;aneh, unik
anem;anyam
angan;harapan
angeak;bau mulut
anggen;tanggung
angit;hangus, mutung
anyea;anyir
apai;kosong, hampa
apau;terhapus
apea;hafal
apem;kue apem
apes;sial
apet;padat
aram;haram
as;senang
asab;azab
asea;hasil
asuak;adik
atau;hantu
atei;hati
aten;berat
atep;atap
au;ya, oke
awak;badan
awas;awas
awei;seperti
awet;jalan yang dilalui
awit;sering
ba;mari, ayo
ba au;bahu
babak;kulit
babea;bubar
babo;mereka-reka
bacang;pembicaraan
baceak;kacau
baco;baca
bacun;beracun
badas;terjal
badeo;percuma
bagai;jodoh
bagen;calon
bagiak;berbagi
bahan;bahan
baik;baik
bajak;bajak
bajang;embrio
bajau;baju
bajua;hancur
baka;calon
bakea;calon
bal;bola
balai;seri
bales;balasan
balet;akar
baliak;berpindah
balua;solusi
balut;membalut
bamai;berkutu ayam
bamang;berpopok
bamuk;mengamuk
ban;beban
banak;melahirkan
banen;bosan
bangau;bangau
bangea;bau busuk
bangga;bangga
banggo;marga
bangso;bangsa
banyea;bermain
banyun;berayun
bapit;diapit
barat;ibarat
baris;berbaris
barus;sejenis pohon gandum
basai;memiliki rasa
basea;berhasil
basen;berasan
baseo;berdebu
basep;berasap
baset;mendangkal
baso;bahasa
bata;bantal
batas;perbatasan
batau;bantu
batea;bantal
bating;membanting
batua;budak
batung;paha
bawuk;brewok
be;nanti
be ei;kera
be em;tapai
be et;berat
bebedak;memakai bedak
bebida;berbeda
bebijat;memiliki biji
bebikei;berbingkai
bece ei;bercerai
beceak;tanah berlumpur
becukua;bercukur
becupik;melahirkan
becuwang;berlawanan
bedog;beduk
beduai;berdua
begelau;bergaul, bercampur
begelut;bercanda
begindo;baginda
bejako;berjangka
bejutei;berjuntai, menjuntai
bekaliak;berpindah-pindah
bekasep;berasap
bekasup;buru-buru, tergesa-gesa
bekau;beku
bekecamuk;berkecamuk
bekecibea;banyak berserakan
bekedeo;memanggil
bekedet;dipadatkan
bekei;bangkai
bekelak;berkehendak
bekelas;berkelas
bekelem;gelap
bekelidak;enggan pergi
bekeno;cantik
bekinai;meminta
bekisea;bergeser sedikit
bekulau;Bengkulu
bekulo;menurut cara adat
bekumis;berkumis
bel o;dahulu
belabuak;berlabuh
belacan;terasi
belacit;lari terbirit-birit
belago;berkelahi
belajau;terus, maju
belajea;belajar
belakau;nakal
belalau;berlalu, puasa tanpa sahur
belamet;berlendir
belando;orang belanda
belanea;duduk lama satu tempat
belangai;kuali, wajan
belangia;keramas
belanjo;berbelanja
belap;mengelap
belapap;beralas
belapen;bergulai
belapis;berlapis-lapis
belapu;berlampu
belas;beras
belat;urat, berbekas
belau;baru
belbas;tabung bambu kering
belbung;bertunas
belceak;berbasah-basahan
belegau;berlagu, bercanda
beliget;berputar
belit;jahat, berbelit-belit
benak;otak, sumsum
benaso;parah
benei;pasir
benia;pokok
beno;agak pusing
bepaket;berpangkat
bepantun;berpantun
bepateak;berucap
bepatei;berhati-hati
bepetong;bergaris, berpotongan
bernapas;bernafas
betakup;menyatu
betameak;bertambah
betani;bertani
beteak;baik
betebea;berserakan
betebok;berduri
betebuk;berlubang
betegang;bersitegang
beteges;cepat selesai
betekea;bertengkar
betoko;bertoko
betudik;tertentu
betukar;bertukar
betukua;berharga
betunak;menikah, kawin
betunang;bertunangan
bi;sudah, lelah
bibo;kasihan
bicang;bahas
bicoa;benjolan
bidau;telah banyak
bodong;bodoh
bokoa;bakul
bu ak;biji
bu es;mandi asalan
buas;ganas
bubea;bubar
bubet;berobat
buk;rambut
bula;bola lampu
bulau;bulu
bulea;mata elang
buliak;boleh
buliakba;bolehlah
bulua;garesan
buluak;bambu
bumai;bumi
butau;batu
buwang;beruang
buwei;keturunan
ca em;cemberut
ca ik;cabik
ca o;cara
cabe;cabai
cacet;cacat
caci;uang
cagea;sehat, kuat
cakik;bakul
calai;lemah
calai;tidak kuat
calo-calo;iseng
carai;cari
caram;serentak
catet;duduk asalan
catuk;patuk
cau;seri
cawis;siap (untuk barang)
cawo-cawo;tiba-tiba
cayo;cahaya
ce ei;cerai
ce et;cemberut
cekua;kencur
cemca;celup sedikit
cemilik;melihat, membuka mata
cemlo;mencela
cirak;ribut
citak;cetakan
coa;tidak ada
cocok;sesuai, akur
codor;condong, miring
cogor;santai, duduk santai
cok;panggilan untuk adik
cong;tikus (kb), cincang (kk)
cotom;masuk semua
cu ei;siram
cu em;merengut
cu ik;manja
cubo;coba, cobaan
cucai;suci, bersuci
cuceo;nakal
cucua;kue cucur
cucup;tutup
cuduk;bungkuk
cuguk;tumpukan
cukeak;bongkah
cukei;pajak
cuko;cuka
cukua;cukur, bercukur
culau;songkok pengantin rejang
culo;cula
cuman;hanya
cundung;condong, miring
cupik;bayi
da eb;bunyi celeduk
dabiak;searah
dadau;dadu
dado;dada
dagau;dagu
daket;sebaya, sama besar
dakur;pas, cocok
daleak;darah
dalen;jalan
dami;tak usah
dana;luar, diluar
daneo;danau
dang;panggilan untuk kakak lelaki
danua;kotoran, tinja
dapet;dapat
datea;datar
dau;banyak
dawa;alasan
dawat;tinta
de;satu
de es;deras
dea;bodoh
deak;sampah dapur
debat;sekali
decang;sebentar
degit;separuh
dekem;ragam, macam
demem;demam
dendo;denda
deno;dulu, mendahulu
depun;sebatang
desoa;sebiji
dibet;satu bungkus
didik;dikit, sedikit
dindang;sindiran, pantun
dioba;inilah
dipoa;seberang
direak;peraga
diwo;dewa
diyem;diam
diyen;durian
do o;itu
do oba;itulah
do osi;itu dia
dobol;ganda
dolom;jarum
du o;doa
enau;aren
ga ang;tempat mencuci
gabeak;renggang, jarang
gabok;bertamu
gacang;cepat
gadei;badan, diri
gading;gading gajah
gaduak;gangguan
gaek;tua
gajai;gaji
gajeak;gajah
galea;ganjal sedikit
galing;goyang
galit;hampir, nyaris
gambia;gambir
ganas;ganas, kejam
gamit;mencolek dengan jari
ganau;berisik, gaduh
ganeak;air mani
ganus;habis
gapok;lapuk
garo;kasar
gaseak;perkosa
gasing;gasing
gawa;gawat
gayut;gantung
gelang;gelang
gelau;gaul
gelkan;didihan
gelok;toples
gelong;cacing
gelpung;tepung
gelung;gulungan
gemaduak;menggangu
gembea;kembar
gemet;pelit
gemgea;menggoncang
gemilep;mengkilap
gemne;mengapa
gen;apa, bagaimana, nama
gen akuak;bagaimana
gen betuk;seperti apa
gendau;kembar
gen ro;bagaimana cara
gen tai;apa artinya
gergajai;gergaji
gerigung;gelinding
gerijot;omelan
gering ;demam
gerot;gagah, perkasa
geteak;getah
gi dau;masih banyak
gilia;gilir, giliran
gitei;ganti
glicia;gelincir
glita;bejana
glok;toples
go;harga, nilai
goi;lolos semua
gong;pegang
gonong;gundul
goyo;pelan
gowog;lubang besar
gritak;sibuk
grutut;kasar
gu au;guru
gubea;bubar
guno;kegunaan
gutau;kutu
gutua;guntur
guyang;goyang
hak;hak
hanyo;cuman
hawa;gejala, aroma
hibat;hebat
hino;hina
hiran;heran
i at;curang
iben;sirih
ibet;bungkus
ibo;iba, kasihan
iceak;usaha, kerja
idea;berserakan
iding;dekat
ige;terlalu
igeo;heboh, geger
ijin;izin
ika;ikal
ilea;bodoh
ilmau;ilmu
ilos;rebut
imbo;rimba
imbun;rimbun
imem;imam
imeo;harimau
indau;rindu
indok;ibu, bunda
ineak;aneh, antik, luar biasa
inget;ingat
inggo;batas
ipe;mana
ipea;keluarga
ipit;dekat, samping
isai;isi
isap;sadar
isea;jalan keluar
iso;bukan
isoa;giring
isoi;isi
isut;giling
isut-isut;berjalan jongkok
itan;intan
itang;rintangan
itung;perhitungan
iu;jijik
ja ai;kecil
ja ang;jarang
jabet;jerawat
ja eak;jatah
jagea;dagangan
jagua;besar
jako;batasan
jalua;jalur
jamben;jembatan
je ang;sebentar
je ing;jengkol
jejak;awal
jelen;rakus
jeniak;jernih
jenjea;dijejer
jemen;zaman
jemjea;menjejer
jemua;jemur
jenwoa;dijual
je o;jera
jerkai;rezeki
jewoa;jual
ji ai;jari
jibeak;jangan
ji et;kuburan
jijai;jadi
jin;jin
jiwo;jiwa
jobor;wasir
jogoa;lambat mengerti
joloa;menjulur
jolog;julukan
